chemistry,feature,fold,seed,temperature_C,reevaluated_mae_pct,locked_mae_pct,abs_mae_delta_pct,max_abs_prediction_delta_fraction,deterministic_bit_identical,atol,passed,package_path,locked_metric_path
LFP,G4,DST,0,-10.0,0.7101383038748871,0.7101382863100301,1.7564857013319113e-08,2.552772522257385e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/0,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,0,0.0,0.4510890046122723,0.451089123917598,1.1930532561876817e-07,2.552772522257385e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/0,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,0,10.0,0.3945979070171468,0.394598075563954,1.685468071777052e-07,2.552772522257385e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/0,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,0,20.0,0.4296805025124987,0.4296808687162228,3.6620372406703794e-07,2.552772522257385e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/0,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,0,25.0,0.4096514586036519,0.4096516642288393,2.056251874327231e-07,2.552772522257385e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/0,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,0,30.0,0.4927364760041556,0.4927365258265503,4.9822394709853064e-08,2.552772522257385e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/0,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,0,40.0,0.5824977939630377,0.5824978752556533,8.129261563905034e-08,2.552772522257385e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/0,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,0,50.0,0.6289791299840195,0.628979855586931,7.256029115332296e-07,2.552772522257385e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/0,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,1,-10.0,0.7044923371362929,0.7044926254432773,2.8830698439730185e-07,2.60912322969098e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,1,0.0,0.4762790257133142,0.4762789170578704,1.086554438090026e-07,2.60912322969098e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,1,10.0,0.405905456693253,0.4059054327289167,2.3964336293147426e-08,2.60912322969098e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,1,20.0,0.4010292953594366,0.401029305448866,1.0089429403059569e-08,2.60912322969098e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,1,25.0,0.3076068293925015,0.3076069438729493,1.1448044773265666e-07,2.60912322969098e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,1,30.0,0.3388549858255116,0.3388551942486996,2.0842318793068415e-07,2.60912322969098e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,1,40.0,0.451864694878847,0.451865051346114,3.564672669820191e-07,2.60912322969098e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
LFP,G4,DST,1,50.0,0.5814825680366804,0.5814829599350912,3.9189841083420163e-07,2.60912322969098e-07,True,1e-06,True,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/inference_pkg_lfp/G4/DST/1,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_by_temperature.csv
